Anger_Index ,Anger_Middle,Anger_Ring
-0.2,-0.78,-1.09
-0.13,-0.82,-1.11
-0.17,-0.81,-1.09
-0.12,-0.8,-1.08
-0.18,-0.78,-1.07
-0.14,-0.77,-1.04
-0.14,-0.76,-1.04
-0.15,-0.76,-1.04
-0.12,-0.75,-1.03
-0.15,-0.74,-1.04
-0.31,-0.75,-1.03
-0.13,-0.73,-1.02
-0.14,-0.74,-1.04
-0.14,-0.74,-1.03
-0.17,-0.72,-1.02
-0.16,-0.73,-1.01
-0.17,-0.73,-1
-0.18,-0.7,-0.99
-0.21,-0.72,-0.99
-0.14,-0.72,-0.96
-0.18,-0.71,-0.92
-0.14,-0.69,-0.88
-0.16,-0.69,-0.89
-0.19,-0.67,-0.9
-0.17,-0.7,-0.9
-0.19,-0.67,-0.89
-0.18,-0.69,-0.89
-0.18,-0.67,-0.87
-0.18,-0.72,-0.92
-0.14,-0.64,-0.86
-0.14,-0.66,-0.85
-0.12,-0.65,-0.83
-0.11,-0.63,-0.82
-0.14,-0.62,-0.81
-0.15,-0.65,-0.82
-0.13,-0.64,-0.84
-0.2,-0.63,-0.85
-0.19,-0.64,-0.86
-0.23,-0.65,-0.84
-0.21,-0.67,-0.81
-0.2,-0.66,-0.82
-0.17,-0.62,-0.82
-0.15,-0.59,-0.81
-0.2,-0.62,-0.79
-0.17,-0.6,-0.78
-0.2,-0.6,-0.75
-0.15,-0.61,-0.74
-0.15,-0.59,-0.73
-0.12,-0.58,-0.72
-0.13,-0.58,-0.7
-0.13,-0.55,-0.7
-0.14,-0.56,-0.71
-0.14,-0.53,-0.7
-0.2,-0.57,-0.72
-0.17,-0.57,-0.69
-0.2,-0.56,-0.73
-0.2,-0.56,-0.66
-0.18,-0.57,-0.71
-0.21,-0.58,-0.67
-0.21,-0.59,-0.68
-0.21,-0.57,-0.66
-0.16,-0.55,-0.63
-0.17,-0.55,-0.6
-0.15,-0.53,-0.62
-0.17,-0.52,-0.57
-0.12,-0.5,-0.54
0.18,-0.5,-0.55
-0.12,-0.48,-0.56
-0.16,-0.45,-0.55
-0.15,-0.44,-0.49
-0.17,-0.42,-0.55
-0.21,-0.43,-0.55
-0.16,-0.45,-0.51
-0.17,-0.46,-0.56
-0.23,-0.48,-0.56
-0.2,-0.44,-0.59
-0.22,-0.44,-0.47
-0.25,-0.43,-0.52
-0.22,-0.44,-0.52
-0.24,-0.45,-0.49
-0.2,-0.43,-0.45
-0.26,-0.4,-0.48
-0.18,-0.39,-0.46
-0.15,-0.35,-0.43
-0.16,-0.32,-0.39
-0.14,-0.34,-0.42
-0.15,-0.29,-0.39
-0.12,-0.3,-0.39
-0.13,-0.28,-0.39
-0.14,-0.3,-0.38
