Anger_Index ,Anger_Middle,Anger_Ring
3.62,1.91,1.99
3.6,1.92,2.01
3.55,1.91,2.03
3.56,1.98,2.16
3.58,2.1,2.21
3.7,2.24,2.4
3.7,2.51,2.59
3.84,2.73,2.91
3.93,2.88,3
4.08,3.01,3.13
4.15,3.2,3.28
4.36,3.47,3.58
4.71,3.85,3.94
5.1,4.24,4.41
5.49,4.64,4.78
5.77,4.91,4.93
5.95,5.09,5.02
6.09,5.11,4.97
6.14,5.07,4.9
6.16,5.06,4.89
6.25,5.05,4.84
6.22,4.96,4.73
6.09,4.84,4.54
5.85,4.53,4.14
5.36,4.02,3.61
4.75,3.44,3.02
4.09,2.93,2.5
3.42,2.29,1.97
2.74,1.58,1.43
2.03,0.77,0.73
1.09,-0.2,-0.12
0.14,-1.48,-1.06
-1.21,-3.19,-2.34
-2.63,-5.04,-3.46
-3.68,-6.47,-4.15
-3.95,-7.25,-4.64
-4.17,-7.77,-4.94
-4.24,-8.24,-5.23
-4.35,-8.7,-5.52
-4.44,-9.05,-5.73
-4.39,-9.17,-5.82
-4.31,-9.05,-5.75
-4.02,-8.75,-5.73
-3.66,-8.36,-5.73
-3.34,-8.08,-5.9
-2.88,-7.69,-5.86
-2.43,-7.38,-5.82
-1.97,-7.02,-5.56
-1.69,-6.47,-5.17
-1.29,-5.9,-4.77
-0.86,-5.39,-4.55
-0.53,-4.98,-4.33
-0.32,-4.61,-4.07
-0.04,-4.25,-3.87
0.13,-3.9,-3.6
0.31,-3.71,-3.43
0.36,-3.58,-3.36
0.42,-3.5,-3.29
0.45,-3.34,-3.09
0.63,-3.16,-2.82
0.73,-2.97,-2.56
0.81,-2.83,-2.46
0.87,-2.73,-2.31
1,-2.57,-2.19
1.03,-2.49,-2.08
1.12,-2.33,-1.88
1.2,-2.23,-1.75
1.25,-2.16,-1.73
1.22,-2.23,-1.71
1.22,-2.24,-1.69
1.19,-2.2,-1.67
1.17,-2.2,-1.66
1.08,-2.23,-1.69
1.07,-2.23,-1.66
1.06,-2.21,-1.68
1.09,-2.31,-1.76
1.01,-2.37,-1.8
0.91,-2.41,-1.8
0.85,-2.41,-1.77
0.79,-2.42,-1.75
0.78,-2.31,-1.66
0.74,-2.24,-1.55
0.85,-2.25,-1.52
0.76,-2.31,-1.62
0.68,-2.39,-1.73
0.67,-2.4,-1.74
0.74,-2.36,-1.7
0.72,-2.29,-1.66
0.67,-2.26,-1.66
0.7,-2.34,-1.74
0.62,-2.32,-1.79
0.6,-2.35,-1.85
0.57,-2.38,-1.79
0.61,-2.36,-1.77
0.54,-2.33,-1.71
0.55,-2.26,-1.72
0.49,-2.29,-1.7
0.43,-2.3,-1.7
0.41,-2.33,-1.75
0.41,-2.34,-1.73
0.45,-2.32,-1.68
0.42,-2.32,-1.67
0.43,-2.25,-1.62
0.52,-2.23,-1.58
0.48,-2.18,-1.5
0.49,-2.09,-1.46
0.49,-2.12,-1.5
0.48,-2.1,-1.43
0.55,-2.11,-1.37
0.55,-2,-1.3
0.59,-2.01,-1.2
0.6,-1.96,-1.13
0.63,-1.88,-1.07
0.67,-1.88,-1.01
0.67,-1.86,-0.95
0.66,-1.86,-0.95
0.71,-1.88,-0.92
0.72,-1.78,-0.81
0.69,-1.76,-0.81
0.68,-1.78,-0.87
0.62,-1.75,-0.89
0.61,-1.79,-0.85
0.67,-1.76,-0.79
0.66,-1.75,-0.78
0.67,-1.73,-0.71
0.62,-1.69,-0.71
0.64,-1.69,-0.69
0.69,-1.72,-0.72
0.61,-1.77,-0.69
0.54,-1.77,-0.71
0.58,-1.8,-0.71
0.56,-1.76,-0.72
0.62,-1.78,-0.74
0.65,-1.75,-0.75
0.61,-1.72,-0.76
0.57,-1.75,-0.76
0.53,-1.78,-0.79
0.49,-1.81,-0.88
0.5,-1.83,-0.87
0.49,-1.77,-0.83
0.57,-1.71,-0.76
0.59,-1.68,-0.81
0.49,-1.67,-0.75
0.56,-1.71,-0.76
0.54,-1.72,-0.78
0.53,-1.72,-0.8
0.62,-1.72,-0.69
0.63,-1.61,-0.71
0.64,-1.65,-0.71
0.65,-1.64,-0.71
0.63,-1.69,-0.72
0.62,-1.71,-0.69
0.59,-1.73,-0.7
0.66,-1.66,-0.65
0.62,-1.62,-0.62
0.68,-1.62,-0.62
0.66,-1.58,-0.59
0.62,-1.62,-0.62
0.62,-1.62,-0.56
0.68,-1.6,-0.61
0.69,-1.59,-0.55
0.66,-1.61,-0.54
0.65,-1.64,-0.58
0.63,-1.59,-0.54
0.65,-1.61,-0.55
0.69,-1.58,-0.54
0.65,-1.6,-0.55
0.65,-1.62,-0.51
0.66,-1.62,-0.52
0.65,-1.6,-0.49
0.67,-1.53,-0.46
0.65,-1.54,-0.42
0.66,-1.55,-0.42
0.64,-1.54,-0.42
0.65,-1.58,-0.41
0.64,-1.61,-0.47
0.55,-1.55,-0.47
0.55,-1.56,-0.4
-0.01,0,-0.01
0,0.02,0.02
0.04,-0.01,0.02
0.06,0.07,0.04
0.08,0.08,0.05
0.07,0.09,0.05
0.06,0.06,0.03
0,0.01,0
-0.05,-0.03,-0.03
-0.06,-0.04,-0.02
-0.1,-0.01,-0.07
-0.09,-0.04,-0.13
-0.07,-0.03,-0.07
-0.07,-0.05,-0.12
-0.05,-0.03,-0.09
-0.06,-0.05,-0.09
-0.06,-0.07,-0.14
-0.08,-0.14,-0.17
-0.09,-0.1,-0.14
-0.09,-0.14,-0.21
-0.1,-0.11,-0.22
-0.1,-0.09,-0.18
-0.1,-0.07,-0.21
-0.1,-0.12,-0.15
-0.06,-0.08,-0.13
-0.08,-0.09,-0.19
-0.09,-0.08,-0.2
-0.06,-0.1,-0.26
-0.06,-0.02,-0.25
-0.01,-0.05,-0.24
0.02,-0.01,-0.18
0,0.04,-0.15
0.04,0.07,-0.11
0.02,0.01,-0.17
0.01,0.02,-0.19
0.03,0,-0.26
0.01,0.05,-0.17
0.04,0.05,-0.16
0.06,0.15,-0.09
0.11,0.22,-0.04
0.18,0.31,0.08
0.23,0.4,0.17
0.27,0.49,0.18
0.36,0.57,0.22
0.39,0.63,0.28
0.42,0.75,0.38
0.51,0.82,0.47
0.54,0.94,0.55
0.64,0.98,0.58
0.76,1.06,0.7
0.82,1.12,0.67
0.92,1.16,0.75
0.94,1.2,0.78
1,1.21,0.8
0.98,1.27,0.8
1,1.26,0.84
0.98,1.29,0.83
0.98,1.26,0.88
0.98,1.3,0.88
1.01,1.38,0.9
1.08,1.42,0.97
1.13,1.48,0.99
1.15,1.54,1.08
1.14,1.55,1.12
1.17,1.61,1.19
1.16,1.64,1.2
1.23,1.64,1.2
1.2,1.62,1.17
1.25,1.67,1.18
1.27,1.7,1.24
1.33,1.75,1.31
1.35,1.81,1.33
1.41,1.89,1.44
1.43,2.04,1.49
1.57,2.1,1.6
1.71,2.31,1.77
1.8,2.46,1.97
2.02,2.79,2.19
2.3,3.22,2.57
2.67,3.79,3.06
3.21,4.73,3.83
3.78,5.9,4.64
4.72,7.32,5.54
5.96,8.89,6.64
7.42,10.71,8.04
8.82,12.48,9.65
10.29,14.84,11.59
11.78,17.64,13.71
13.3,20.88,16.18
15.02,25.47,19
17.22,30.02,22.08
19.56,34.17,25.27
22.16,38.34,29.61
24.47,42.15,36.69
26.87,45.62,43.65
29.35,49.76,48.33
31.83,54.6,52.4
34.64,58.93,56.07
37.69,62.58,59.34
40.79,65.81,62.51
43.72,69.19,65.88
47.01,73.26,69.91
50.79,77.64,73.94
54.64,82.12,77.91
58.18,86.27,81.57
61.7,89.76,84.89
65.26,93.7,88.13
69.37,98.02,91.68
74.01,101.86,95.29
78.56,105.59,98.75
82.76,108.97,102.23
86.38,112.6,105.67
89.95,115.88,109.22
93.46,119.16,112.77
96.74,122.06,115.64
99.88,124.5,118.61
103.26,127.62,121.19
106.35,130.28,124.35
109.63,133.19,127.58
113.11,136.47,130.67
116.67,139.15,134.17
120,142.56,137.01
123.63,145.61,140.06
127.43,148.09,142.68
131.17,150.59,145
134.85,152.88,147.54
138.18,154.99,149.55
141.78,157.12,151.96
145.54,159.31,153.93
149.14,162.06,156.26
152.06,163.83,157.78
154.49,165.58,159.62
156.64,167.24,161.35
158.45,168.86,163.26
160.03,171.07,164.91
161.65,172.64,166.64
162.8,174.22,168.11
163.8,175.22,169.09
164.71,176.42,170.06
165.24,177.08,170.7
165.69,177.92,171.66
165.97,178.36,172.31
166.31,178.98,172.86
166.59,179.35,173.57
166.86,179.66,174
167.13,179.97,174.33
167.33,180.33,174.67
166.92,180.23,174.6
166.62,180.02,174.69
166.37,179.94,174.42
165.9,179.58,174.11
165.49,179.22,173.68
165.08,178.67,173.29
164.76,178.17,172.79
164.44,177.82,172.42
164.17,177.54,172.01
163.91,177.26,171.86
163.59,177.04,171.6
163.37,176.74,171.3
163.21,176.47,171.03
163.02,176.23,170.7
162.87,176.05,170.57
162.66,176.06,170.44
162.71,176.13,170.51
162.61,176.25,170.59
162.58,176.28,170.55
162.55,176.27,170.55
162.56,176.42,170.68
162.69,176.57,170.85
162.8,176.73,170.97
162.87,176.99,171.23
162.99,177.17,171.51
163.14,177.41,171.79
163.26,177.39,172.04
163.38,177.86,172.31
163.65,178.08,172.6
163.77,178.45,173.13
