Index finger,Middle finger,Ring  finger
4.14,1.49,2.42
4.13,1.5,2.41
4.16,1.5,2.44
4.15,1.54,2.48
4.21,1.56,2.53
4.24,1.6,2.52
4.24,1.61,2.56
4.23,1.59,2.52
4.2,1.53,2.52
4.22,1.53,2.49
4.26,1.57,2.55
4.25,1.6,2.6
4.28,1.65,2.67
4.37,1.74,2.72
4.4,1.73,2.73
4.4,1.72,2.74
4.34,1.73,2.71
4.36,1.72,2.73
4.38,1.77,2.77
4.41,1.83,2.8
4.46,1.88,2.82
4.47,1.87,2.83
4.46,1.85,2.83
4.46,1.85,2.86
4.45,1.82,2.84
4.5,1.86,2.83
4.49,1.82,2.86
4.48,1.85,2.86
4.48,1.87,2.86
4.49,1.85,2.91
4.5,1.83,2.87
4.46,1.73,2.82
4.39,1.73,2.77
4.39,1.77,2.8
4.43,1.77,2.88
4.47,1.8,2.95
4.5,1.81,2.93
4.5,1.77,2.95
4.48,1.74,2.94
4.44,1.72,2.91
4.45,1.72,2.91
4.39,1.73,2.97
4.39,1.73,2.97
4.44,1.81,3.04
4.46,1.84,3.06
4.52,1.83,3.04
4.49,1.84,3.09
4.52,1.83,3.07
4.49,1.84,3.1
4.52,1.9,3.16
4.53,1.9,3.22
4.53,1.93,3.24
4.56,1.93,3.23
4.53,1.95,3.26
4.54,1.96,3.25
4.56,1.96,3.27
4.56,1.97,3.29
4.58,2.03,3.34
4.63,2.06,3.38
4.64,2.06,3.39
4.57,2.06,3.4
4.59,2.02,3.44
4.59,2.09,3.45
4.62,2.08,3.48
4.6,2.12,3.55
4.61,2.17,3.58
4.66,2.22,3.65
4.68,2.23,3.71
4.73,2.27,3.74
4.73,2.3,3.77
4.71,2.32,3.83
4.71,2.33,3.83
4.74,2.36,3.87
4.74,2.39,3.91
4.74,2.37,3.98
4.73,2.41,4
4.77,2.44,4.04
4.8,2.45,4.1
4.79,2.49,4.12
4.8,2.6,4.19
4.85,2.65,4.24
4.85,2.65,4.26
4.85,2.72,4.27
4.85,2.73,4.3
4.84,2.76,4.33
4.87,2.72,4.36
4.89,2.74,4.36
4.92,2.78,4.4
4.91,2.78,4.44
4.96,2.84,4.49
4.99,2.85,4.54
4.98,2.84,4.51
4.97,2.82,4.48
5.01,2.83,4.49
4.99,2.85,4.51
4.99,2.87,4.5
5,2.84,4.53
4.97,2.81,4.51
4.99,2.8,4.53
4.99,2.81,4.52
4.99,2.82,4.49
4.99,2.81,4.52
5,2.79,4.5
5.01,2.76,4.52
4.95,2.77,4.52
4.94,2.73,4.47
4.91,2.72,4.46
4.9,2.66,4.45
4.9,2.64,4.45
4.89,2.68,4.5
4.92,2.64,4.48
4.88,2.6,4.48
4.87,2.57,4.44
4.84,2.57,4.42
4.84,2.53,4.47
4.85,2.51,4.5
4.87,2.5,4.55
4.88,2.53,4.58
4.84,2.53,4.62
4.87,2.51,4.64
4.87,2.49,4.63
4.86,2.5,4.64
4.79,2.49,4.65
4.85,2.51,4.67
4.86,2.53,4.73
4.86,2.47,4.71
4.82,2.51,4.7
4.8,2.49,4.73
4.83,2.51,4.73
4.85,2.55,4.75
4.84,2.55,4.8
4.88,2.62,4.82
4.9,2.58,4.81
4.88,2.57,4.8
4.87,2.55,4.8
4.9,2.59,4.82
4.87,2.59,4.81
4.83,2.6,4.86
4.85,2.6,4.85
4.84,2.62,4.86
4.85,2.6,4.86
-0.02,-0.01,0.01
0,0.03,0.05
-0.03,0.03,0.02
-0.01,0.06,0.09
0.04,0.07,0.11
0.04,0.12,0.11
0.05,0.08,0.14
0.04,0.09,0.12
0.03,0.05,0.16
0.05,0.1,0.14
0.04,0.1,0.17
0.09,0.15,0.19
0.12,0.16,0.18
0.09,0.19,0.14
0.12,0.23,0.15
0.11,0.14,0.17
0.13,0.19,0.16
0.17,0.19,0.18
0.14,0.18,0.14
0.2,0.26,0.21
0.12,0.22,0.19
0.15,0.25,0.24
0.15,0.28,0.26
0.21,0.31,0.34
0.19,0.31,0.32
0.18,0.31,0.33
0.18,0.32,0.3
0.18,0.35,0.36
0.21,0.33,0.36
0.21,0.38,0.39
0.23,0.41,0.41
0.25,0.4,0.39
0.24,0.37,0.43
0.23,0.36,0.46
0.26,0.37,0.48
0.24,0.35,0.52
0.23,0.41,0.52
0.25,0.41,0.51
0.24,0.35,0.5
0.24,0.36,0.53
0.29,0.37,0.52
0.31,0.38,0.53
0.3,0.39,0.54
0.32,0.4,0.54
0.33,0.35,0.53
0.34,0.38,0.52
0.33,0.38,0.55
0.36,0.42,0.6
0.31,0.44,0.62
0.33,0.43,0.61
0.36,0.5,0.66
0.37,0.47,0.62
0.36,0.45,0.62
0.34,0.48,0.64
0.35,0.51,0.67
0.43,0.56,0.74
0.48,0.64,0.79
0.54,0.71,0.93
0.61,0.76,0.99
0.68,0.84,1.05
0.8,0.95,1.12
0.96,1.07,1.28
1.12,1.26,1.49
1.31,1.49,1.73
1.47,1.75,2
1.5,2.04,2.32
1.92,2.28,2.54
2.06,2.5,2.8
2.2,2.7,2.99
2.36,2.93,3.24
2.44,3.07,3.42
2.48,3.2,3.63
2.6,3.37,3.87
2.7,3.47,4.04
2.77,3.53,4.15
2.8,3.57,4.28
2.87,3.63,4.41
2.95,3.73,4.49
3.04,3.81,4.55
3.01,3.84,4.58
3.07,3.84,4.57
3.06,3.86,4.51
3.03,3.8,4.5
3.04,3.81,4.51
3,3.82,4.52
3.03,3.86,4.58
3.06,3.93,4.64
3.1,4.02,4.71
